Level of Ed.,ISCED,Age,Total,Male,Female
"Economic status - total at school, university, etc.",NA,48 years,581,234,347
"Economic status - total at school, university, etc.",NA,49 years,578,224,354
"Economic status - total at school, university, etc.",NA,50 years,515,211,304
"Economic status - total at school, university, etc.",NA,51 years,445,184,261
"Economic status - total at school, university, etc.",NA,52 years,374,166,208
"Economic status - total at school, university, etc.",NA,53 years,399,156,243
"Economic status - total at school, university, etc.",NA,54 years,335,131,204
"Economic status - total at school, university, etc.",NA,55 years,301,116,185
"Economic status - total at school, university, etc.",NA,56 years,261,97,164
"Economic status - total at school, university, etc.",NA,57 years,246,99,147
"Economic status - total at school, university, etc.",NA,58 years,186,73,113
"Economic status - total at school, university, etc.",NA,59 years,148,57,91
"Economic status - total at school, university, etc.",NA,60 years,159,65,94
"Economic status - total at school, university, etc.",NA,61 years,126,68,58
"Economic status - total at school, university, etc.",NA,62 years,78,35,43
"Economic status - total at school, university, etc.",NA,63 years,78,34,44
"Economic status - total at school, university, etc.",NA,64 years,69,36,33
"Economic status - total at school, university, etc.",NA,65 years,36,17,19
"Economic status - total at school, university, etc.",NA,66 years,39,13,26
"Economic status - total at school, university, etc.",NA,67 years,31,16,15
"Economic status - total at school, university, etc.",NA,68 years,28,18,10
"Economic status - total at school, university, etc.",NA,69 years,35,14,21
"Economic status - total at school, university, etc.",NA,70 years,37,21,16
"Economic status - total at school, university, etc.",NA,71 years,38,22,16
"Economic status - total at school, university, etc.",NA,72 years,22,16,6
"Economic status - total at school, university, etc.",NA,73 years,10,3,7
"Economic status - total at school, university, etc.",NA,74 years,13,11,2
"Economic status - total at school, university, etc.",NA,75 years,0,0,0
"Economic status - total at school, university, etc.",NA,76 years,0,0,0
"Economic status - total at school, university, etc.",NA,77 years,0,0,0
"Economic status - total at school, university, etc.",NA,78 years,0,0,0
"Economic status - total at school, university, etc.",NA,79 years,0,0,0
"Economic status - total at school, university, etc.",NA,80 years,0,0,0
"Economic status - total at school, university, etc.",NA,81 years,0,0,0
"Economic status - total at school, university, etc.",NA,82 years,0,0,0
"Economic status - total at school, university, etc.",NA,83 years,0,0,0
"Economic status - total at school, university, etc.",NA,84 years,0,0,0
"Economic status - total at school, university, etc.",NA,85 years and over,0,0,0
Economic status - other,NA,15 years,273,139,134
Economic status - other,NA,16 years,590,306,284
Economic status - other,NA,17 years,1032,560,472
Economic status - other,NA,18 years,2492,1277,1215
Economic status - other,NA,19 years,4045,2078,1967
Economic status - other,NA,20 years,4223,2295,1928
Economic status - other,NA,21 years,4765,2495,2270
Economic status - other,NA,22 years,5533,2743,2790
Economic status - other,NA,23 years,5839,2850,2989
Economic status - other,NA,24 years,5983,2880,3103
Economic status - other,NA,25 years,6305,3018,3287
Economic status - other,NA,26 years,6421,3032,3389
Economic status - other,NA,27 years,6381,3048,3333
Economic status - other,NA,28 years,6834,3197,3637
Economic status - other,NA,29 years,7270,3384,3886
Economic status - other,NA,30 years,7628,3632,3996
Economic status - other,NA,31 years,7810,3778,4032
Economic status - other,NA,32 years,7975,3818,4157
Economic status - other,NA,33 years,8369,4073,4296
Economic status - other,NA,34 years,8308,4086,4222
Economic status - other,NA,35 years,8332,4190,4142
Economic status - other,NA,36 years,8044,4043,4001
Economic status - other,NA,37 years,7312,3733,3579
Economic status - other,NA,38 years,6675,3385,3290
Economic status - other,NA,39 years,6438,3291,3147
Economic status - other,NA,40 years,5946,3039,2907
Economic status - other,NA,41 years,5616,2898,2718
Economic status - other,NA,42 years,5217,2695,2522
Economic status - other,NA,43 years,5087,2627,2460
Economic status - other,NA,44 years,4651,2394,2257
Economic status - other,NA,45 years,4337,2258,2079
Economic status - other,NA,46 years,4080,2141,1939
Economic status - other,NA,47 years,3761,1954,1807
Economic status - other,NA,48 years,3410,1682,1728
Economic status - other,NA,49 years,3223,1627,1596
Economic status - other,NA,50 years,3007,1538,1469
Economic status - other,NA,51 years,2911,1470,1441
Economic status - other,NA,52 years,2703,1380,1323
Economic status - other,NA,53 years,2509,1280,1229
Economic status - other,NA,54 years,2345,1164,1181
Economic status - other,NA,55 years,2301,1163,1138
Economic status - other,NA,56 years,2132,1041,1091
Economic status - other,NA,57 years,1945,989,956
Economic status - other,NA,58 years,1808,859,949
Economic status - other,NA,59 years,1716,830,886
Economic status - other,NA,60 years,1566,762,804
Economic status - other,NA,61 years,1405,718,687
Economic status - other,NA,62 years,1284,693,591
Economic status - other,NA,63 years,1199,628,571
Economic status - other,NA,64 years,1090,524,566
Economic status - other,NA,65 years,988,532,456
Economic status - other,NA,66 years,917,467,450
Economic status - other,NA,67 years,872,427,445
Economic status - other,NA,68 years,804,424,380
Economic status - other,NA,69 years,763,366,397
Economic status - other,NA,70 years,651,340,311
Economic status - other,NA,71 years,577,295,282
Economic status - other,NA,72 years,521,259,262
Economic status - other,NA,73 years,507,268,239
Economic status - other,NA,74 years,457,243,214
Economic status - other,NA,75 years,426,219,207
Economic status - other,NA,76 years,365,177,188
Economic status - other,NA,77 years,358,166,192
Economic status - other,NA,78 years,355,154,201
Economic status - other,NA,79 years,306,132,174
Economic status - other,NA,80 years,306,139,167
Economic status - other,NA,81 years,237,107,130
Economic status - other,NA,82 years,208,91,117
Economic status - other,NA,83 years,209,97,112
Economic status - other,NA,84 years,195,75,120
Economic status - other,NA,85 years and over,985,348,637
